cell_y_index,cell_x_index,point_names
119,87,2_6_35_58810
114,84,2_6_35_60362
119,88,2_6_35_63393
114,85,2_6_35_66685
120,79,"2_6_89_51097, 3_6_103_52207, 2_6_89_92426"
129,81,2_6_89_64402
125,82,"2_6_89_74440, 2_6_89_72361"
124,81,2_6_89_80049
131,81,2_6_93_77579
119,80,"3_6_103_75319, 3_6_103_72948"
117,80,"3_6_103_94950, 3_6_103_84687"
107,76,3_6_115_63759
98,79,3_6_17_57993
101,74,3_6_17_61249
96,77,3_6_17_72729
104,78,3_6_57_53985
103,78,3_6_61_51204
102,81,"3_6_61_58715, 3_6_61_90898"
101,79,3_6_61_66414
100,80,"3_6_61_95963, 3_6_61_56959"
109,84,3_6_63_53845
110,84,3_6_63_95034
114,77,3_6_7_58831
109,77,"3_6_7_79676, 3_6_7_51123"
108,78,3_6_91_60422
106,80,"3_6_91_64136, 3_6_57_74346"
104,81,"3_6_91_78136, 3_6_91_99210"
107,79,3_6_91_96403
60,72,"5_6_107_61295, 5_6_107_90793, 5_6_107_97204"
67,75,5_6_107_84235
91,74,5_6_109_89998
89,75,5_6_109_99065
75,75,"5_6_19_86025, 5_6_19_87920, 5_6_19_81722"
78,73,5_6_39_67711
78,78,5_6_39_68205
95,81,5_6_3_50336
90,69,5_6_9_76890
131,78,2_6_105_55197
133,78,2_6_105_72278
120,86,"2_6_35_70876, 2_6_35_72567"
122,90,2_6_35_81494
126,88,2_6_49_69223
120,81,"2_6_89_61234, 2_6_89_60797"
122,82,2_6_89_99073
129,86,"2_6_93_64594, 2_6_93_64933"
130,82,2_6_93_69817
118,78,3_6_103_83227
97,79,3_6_17_65124
101,76,"3_6_17_77031, 3_6_17_64677"
99,75,3_6_17_86442
105,77,3_6_57_72006
99,80,3_6_61_87091
109,86,3_6_63_69107
111,83,3_6_63_80523
109,81,3_6_63_85235
117,81,"3_6_63_97060, 3_6_63_56393"
103,85,3_6_91_66678
109,79,3_6_91_71262
58,75,"5_6_107_60599, 5_6_107_64596"
57,74,5_6_107_77409
62,74,"5_6_107_79019, 5_6_107_53570"
61,71,5_6_107_84653
60,71,5_6_107_93670
68,76,5_6_19_59575
54,70,5_6_29_72550
91,78,5_6_3_78499
83,75,5_6_43_84069
91,73,5_6_9_78914
119,84,2_6_35_81047
122,96,2_6_49_88241
123,92,2_6_49_89672
127,78,2_6_89_53811
128,81,"2_6_89_59754, 2_6_89_79595"
127,85,2_6_89_75696
129,77,2_6_89_88254
124,82,2_6_89_92958
127,82,2_6_89_96812
129,88,2_6_93_57608
130,84,2_6_93_62065
128,86,"2_6_93_65184, 2_6_93_66757"
130,86,2_6_93_91911
117,78,"3_6_103_78438, 3_6_103_82900"
99,78,3_6_17_73339
101,83,3_6_61_56264
103,79,3_6_61_62231
114,83,3_6_63_75269
114,79,3_6_63_77293
112,83,3_6_63_78119
114,82,3_6_63_92750
115,76,3_6_7_53039
113,77,3_6_7_96449
107,80,"3_6_91_50167, 3_6_91_98366, 3_6_91_90686"
59,75,5_6_107_62149
57,72,5_6_107_65803
89,74,"5_6_109_65725, 5_6_109_51484"
85,75,5_6_109_78426
88,73,5_6_109_88701
86,75,5_6_109_88765
56,69,"5_6_29_80054, 5_6_29_52361"
78,74,"5_6_39_53530, 5_6_39_98938"
93,80,5_6_3_65091
93,78,5_6_3_85143
81,76,5_6_43_54487
131,75,2_6_105_55988
133,79,2_6_105_82808
107,87,2_6_35_86203
121,95,2_6_49_89657
122,79,2_6_89_57352
120,83,2_6_89_82323
131,87,2_6_93_62828
97,76,"3_6_17_81421, 3_6_17_78404"
95,78,3_6_17_91575
119,81,3_6_63_83144
112,78,3_6_63_92541
115,80,3_6_63_95686
115,77,3_6_7_92030
104,83,3_6_91_92506
88,75,5_6_109_94331
91,75,5_6_109_96366
84,74,5_6_109_98431
71,75,5_6_19_74103
70,74,5_6_19_99257
91,79,5_6_3_54594
81,75,5_6_43_58889
92,76,5_6_9_77228
119,83,2_6_35_86836
124,93,2_6_49_64415
120,80,2_6_89_57442
121,79,2_6_89_91831
129,83,2_6_93_95740
101,82,3_6_61_63544
102,77,3_6_61_76008
102,79,3_6_61_93006
109,80,3_6_91_97328
84,75,5_6_109_73865
73,76,5_6_19_54781
124,92,2_6_49_63662
128,80,2_6_89_55801
99,77,3_6_17_57624
102,75,3_6_61_51970
100,83,3_6_61_66411
60,77,5_6_107_66883
57,73,5_6_107_80767
90,74,5_6_109_75599
