point_name,month_year,TBOT_avg,PRECTmms_total_mm
2_6_105_51297,1966-07,290.74008,6.814789
2_6_105_51297,1966-08,293.15802,2.6008987
2_6_105_51297,1966-09,287.8341,35.26471
2_6_105_51297,1966-10,284.20868,2.8081264
2_6_105_51297,1966-11,277.1295,503.22296
2_6_105_51297,1966-12,273.96198,489.49164
2_6_105_51297,1967-01,273.79327,514.59863
2_6_105_51297,1967-02,275.64624,15.045776
2_6_105_51297,1967-03,273.13394,377.64017
2_6_105_51297,1967-04,271.8442,227.95071
2_6_105_51297,1967-05,283.17877,8.821564
2_6_105_51297,1967-06,289.23447,70.379135
2_6_105_51297,1967-07,294.5817,0.2680664
2_6_105_51297,1967-08,294.9905,2.1773682
2_6_105_51297,1967-09,290.49945,3.8463373
2_6_105_51297,1967-10,283.15555,70.23297
2_6_105_51297,1967-11,279.41666,116.918495
2_6_105_51297,1967-12,272.07352,299.7614
2_6_105_51297,1968-01,272.4825,518.7229
2_6_105_51297,1968-02,276.81683,320.4642
2_6_105_51297,1968-03,276.38394,201.677
2_6_105_51297,1968-04,278.20477,7.7329254
2_6_105_51297,1968-05,283.05978,52.787323
2_6_105_51297,1968-06,289.2383,0.5768776
2_6_105_51297,1968-07,293.95273,6.169216
2_6_105_51297,1968-08,289.27945,105.18424
2_6_105_51297,1968-09,288.5911,1.2468185
2_6_105_51297,1968-10,282.45593,98.149086
2_6_105_51297,1968-11,276.46448,157.28279
2_6_105_51297,1968-12,270.33966,709.438
2_6_105_51297,1969-01,270.8186,380.34604
2_6_105_51297,1969-02,271.18845,529.3176
2_6_105_51297,1969-03,275.26688,53.355846
2_6_105_51297,1969-04,277.8555,103.392075
2_6_105_51297,1969-05,284.99985,5.754982
2_6_105_51297,1969-06,288.6939,67.28972
2_6_105_51297,1969-07,293.22592,0.0
2_6_105_51297,1969-08,292.54095,0.0
2_6_105_51297,1969-09,289.18954,5.861277
2_6_105_51297,1969-10,280.002,70.26651
2_6_105_51297,1969-11,279.05838,94.18907
2_6_105_51297,1969-12,275.30182,797.5617
2_6_105_51297,1970-01,273.3538,916.02997
2_6_105_51297,1970-02,275.9128,154.97116
2_6_105_51297,1970-03,275.64627,116.41945
2_6_105_51297,1970-04,275.92792,18.314753
