"LAT","LON","pltID"
37.967545,-119.60638,"5_6_109_87610"
37.344435,-118.978911,"5_6_19_63979"
37.435788,-119.108429,"5_6_19_64321"
36.941822,-119.089401,"5_6_19_68056"
37.13856,-119.102383,"5_6_19_69038"
36.985139,-118.789432,"5_6_19_90478"
37.420757,-119.414016,"5_6_39_51106"
37.279835,-119.419028,"5_6_39_67260"
37.458099,-119.581289,"5_6_39_79129"
37.629779,-119.122682,"5_6_39_88388"
38.559286,-119.843988,"5_6_3_75212"
37.774118,-119.433035,"5_6_43_53915"
37.736541,-119.755259,"5_6_43_56491"
37.796341,-119.613793,"5_6_43_58153"
37.750869,-119.51983,"5_6_43_74275"
37.627355,-119.623166,"5_6_43_94933"
38.487874,-120.454976,"5_6_5_72936"
41.052043,-122.688975,"2_6_105_52478"
40.839139,-122.717469,"2_6_105_76091"
40.895951,-122.889701,"2_6_105_91958"
40.721628,-120.963177,"2_6_35_58810"
40.217777,-120.890946,"2_6_35_60362"
40.834367,-120.827245,"2_6_35_63393"
40.334116,-120.753298,"2_6_35_66685"
40.455398,-121.701818,"2_6_89_51097"
41.140812,-121.661805,"2_6_89_55387"
41.051537,-122.42384,"2_6_89_61825"
41.071079,-122.128458,"2_6_89_64402"
41.111198,-121.971748,"2_6_89_72576"
40.893634,-121.802272,"2_6_89_74440"
40.752014,-121.784351,"2_6_89_80049"
40.616389,-121.74883,"2_6_89_88898"
41.423014,-121.835255,"2_6_93_58201"
41.478563,-121.688883,"2_6_93_63920"
41.242093,-122.292311,"2_6_93_77579"
40.346215,-121.52359,"3_6_103_75319"
40.300583,-121.407344,"3_6_103_94950"
39.403396,-121.108184,"3_6_115_63759"
38.554009,-120.420481,"3_6_17_55516"
38.906736,-120.302104,"3_6_17_57993"
38.895624,-120.887382,"3_6_17_61249"
38.754007,-120.296352,"3_6_17_72729"
38.606625,-120.430194,"3_6_17_85417"
38.913269,-120.741279,"3_6_17_96427"
39.2691,-120.766174,"3_6_57_53985"
39.106688,-120.791652,"3_6_61_50404"
39.224651,-120.630123,"3_6_61_51204"
39.24643,-120.345113,"3_6_61_58715"
39.10751,-120.466654,"3_6_61_66414"
39.093201,-120.295782,"3_6_61_95963"
39.937663,-120.569915,"3_6_63_53845"
39.993971,-121.026785,"3_6_63_65133"
39.90341,-120.83148,"3_6_63_84449"
40.194542,-121.150038,"3_6_63_94114"
40.002521,-120.554742,"3_6_63_95034"
39.887681,-120.38115,"3_6_63_95797"
39.85891,-121.473158,"3_6_7_58831"
39.572363,-121.13262,"3_6_7_79676"
39.540225,-120.975392,"3_6_91_60422"
39.550258,-120.683749,"3_6_91_64136"
39.452442,-120.490845,"3_6_91_78136"
39.600541,-120.841077,"3_6_91_96403"
36.081117,-118.561278,"5_6_107_61295"
36.608915,-118.725373,"5_6_107_84235"
35.973889,-118.585608,"5_6_107_90793"
37.861187,-119.74092,"5_6_109_51824"
38.01165,-119.748291,"5_6_109_53207"
38.258901,-120.258864,"5_6_109_89998"
37.807603,-119.857589,"5_6_109_92098"
38.153364,-120.059054,"5_6_109_99065"
37.156162,-119.213299,"5_6_19_86025"
37.182131,-119.224746,"5_6_19_87920"
35.764265,-118.264676,"5_6_29_95529"
37.389653,-119.425447,"5_6_39_63788"
37.331872,-119.538425,"5_6_39_67711"
37.589696,-119.120009,"5_6_39_68205"
38.831665,-119.885685,"5_6_3_50336"
37.906642,-120.594664,"5_6_9_76890"
40.92668,-122.850656,"2_6_105_53434"
41.107226,-122.549275,"2_6_105_55197"
41.273638,-122.623782,"2_6_105_72278"
41.089432,-122.898593,"2_6_105_73028"
40.82199,-122.697549,"2_6_105_95584"
40.293784,-120.569161,"2_6_35_56642"
40.792055,-121.091956,"2_6_35_70876"
41.133079,-120.822345,"2_6_35_81494"
41.23139,-121.305813,"2_6_49_69223"
40.550595,-121.529065,"2_6_89_61234"
41.179919,-122.434149,"2_6_89_71970"
40.895538,-121.764986,"2_6_89_72361"
41.154269,-122.258623,"2_6_89_90106"
40.699823,-121.584718,"2_6_89_99073"
41.503851,-121.665787,"2_6_93_52619"
41.343677,-121.645982,"2_6_93_64594"
41.389384,-121.708235,"2_6_93_64933"
41.210526,-122.134696,"2_6_93_69817"
41.209141,-121.800374,"2_6_93_82460"
41.236074,-121.446329,"2_6_93_92351"
40.407204,-121.698113,"3_6_103_52207"
40.407122,-121.519856,"3_6_103_72948"
40.249785,-121.670011,"3_6_103_83227"
38.897495,-120.233752,"3_6_17_65124"
38.971363,-120.700547,"3_6_17_77031"
38.819374,-120.707039,"3_6_17_86442"
39.315658,-120.909609,"3_6_57_72006"
39.497965,-120.656624,"3_6_57_74346"
39.052156,-120.287713,"3_6_61_87091"
39.02453,-120.593323,"3_6_61_92313"
40.037842,-120.369281,"3_6_63_69107"
39.989488,-120.984059,"3_6_63_78794"
39.988809,-120.702693,"3_6_63_80523"
39.796525,-120.839548,"3_6_63_85235"
39.794059,-120.953459,"3_6_63_87788"
40.268784,-121.324576,"3_6_63_97060"
39.598602,-121.162137,"3_6_7_51123"
40.047997,-121.471642,"3_6_7_58490"
39.739426,-121.446846,"3_6_7_71649"
39.459756,-120.788101,"3_6_91_65292"
39.56038,-120.030227,"3_6_91_66678"
39.657297,-120.955497,"3_6_91_71262"
39.499711,-120.971906,"3_6_91_95042"
36.064916,-118.218929,"5_6_107_60599"
35.912333,-118.222778,"5_6_107_77409"
36.208675,-118.536721,"5_6_107_79019"
36.103975,-118.71196,"5_6_107_84653"
35.980936,-118.685744,"5_6_107_93670"
36.701908,-118.598079,"5_6_107_96721"
36.062614,-118.537536,"5_6_107_97204"
36.461573,-118.725404,"5_6_107_97619"
38.211788,-120.013629,"5_6_109_90611"
36.792954,-118.726878,"5_6_19_59575"
35.51531,-118.336109,"5_6_29_72550"
37.468379,-119.543258,"5_6_39_66134"
37.616518,-119.091845,"5_6_39_82286"
38.598718,-119.925421,"5_6_3_58235"
38.408526,-119.889998,"5_6_3_78499"
37.57026,-119.671172,"5_6_43_52879"
37.750672,-119.699369,"5_6_43_84069"
38.69688,-120.10987,"5_6_5_61543"
38.200939,-120.348596,"5_6_9_78914"
41.193019,-122.872769,"2_6_105_76623"
40.857788,-122.673466,"2_6_105_91348"
41.053881,-122.875597,"2_6_105_91548"
40.883775,-122.809067,"2_6_105_96468"
40.495433,-121.318196,"2_6_35_52154"
40.387734,-120.873847,"2_6_35_59624"
40.548534,-121.214019,"2_6_35_81047"
41.407397,-120.325469,"2_6_49_88241"
41.220148,-120.707587,"2_6_49_89672"
40.802943,-122.232414,"2_6_89_53811"
41.067209,-122.063404,"2_6_89_59754"
40.502383,-121.523558,"2_6_89_60797"
41.04918,-122.349752,"2_6_89_69793"
41.159091,-121.579969,"2_6_89_75696"
40.90664,-122.495643,"2_6_89_88254"
40.647488,-121.380672,"2_6_89_91137"
40.453543,-121.663172,"2_6_89_92426"
40.771647,-121.688404,"2_6_89_92958"
40.987918,-121.892686,"2_6_89_96812"
41.441774,-121.476601,"2_6_93_57608"
41.285498,-121.901269,"2_6_93_62065"
41.314968,-121.616231,"2_6_93_65184"
41.431818,-121.760654,"2_6_93_91911"
40.209008,-121.460675,"3_6_103_66700"
40.125876,-121.60977,"3_6_103_78438"
39.554085,-121.092806,"3_6_115_58957"
38.955305,-120.697675,"3_6_17_64677"
38.954971,-120.418292,"3_6_17_73339"
38.585611,-120.490682,"3_6_17_86733"
39.290846,-120.091234,"3_6_61_56264"
39.236537,-120.58724,"3_6_61_62231"
39.075346,-120.562585,"3_6_61_93000"
40.337789,-121.32373,"3_6_63_56393"
40.209372,-120.944034,"3_6_63_75269"
40.005995,-121.278175,"3_6_63_77293"
40.049425,-120.822895,"3_6_63_78119"
40.04252,-120.634678,"3_6_63_81739"
39.840518,-120.965204,"3_6_63_84403"
40.189495,-121.023947,"3_6_63_92750"
39.973115,-121.593491,"3_6_7_53039"
39.679968,-121.250285,"3_6_7_78236"
39.862841,-121.410372,"3_6_7_96449"
39.576549,-120.787907,"3_6_91_50167"
39.456415,-120.439638,"3_6_91_99210"
39.551977,-120.910412,"3_6_91_99653"
36.104897,-118.499156,"5_6_107_54465"
36.117014,-118.221127,"5_6_107_62149"
36.106782,-118.646091,"5_6_107_62252"
35.816511,-118.340766,"5_6_107_65803"
38.11014,-120.132073,"5_6_109_65725"
38.349871,-120.009505,"5_6_109_76539"
37.815704,-119.800515,"5_6_109_78426"
37.955486,-120.162273,"5_6_109_88701"
37.972191,-119.841096,"5_6_109_88765"
36.739589,-118.850978,"5_6_19_74199"
37.189868,-119.168667,"5_6_19_81722"
35.61905,-118.635385,"5_6_29_80054"
37.322096,-119.492867,"5_6_39_53530"
38.634983,-119.871609,"5_6_3_65091"
38.505526,-120.064183,"5_6_3_85143"
37.667895,-119.494206,"5_6_43_54487"
38.463803,-120.330934,"5_6_9_55452"
40.910338,-122.807185,"2_6_105_55988"
41.211519,-122.55067,"2_6_105_62696"
41.145095,-122.681242,"2_6_105_63829"
40.944091,-122.95469,"2_6_105_75624"
41.28939,-122.559367,"2_6_105_82808"
40.787978,-121.059208,"2_6_35_72567"
39.929485,-120.093836,"2_6_35_86203"
41.287647,-120.300422,"2_6_49_89657"
41.206491,-121.249671,"2_6_49_96302"
40.511809,-121.788689,"2_6_89_57352"
41.140997,-122.16459,"2_6_89_75886"
40.592512,-121.323351,"2_6_89_82323"
41.536163,-121.763614,"2_6_93_62828"
41.344887,-121.57539,"2_6_93_66757"
40.243254,-121.438679,"3_6_103_84687"
38.698071,-120.496859,"3_6_17_81421"
38.687188,-120.149527,"3_6_17_91575"
40.437891,-121.333449,"3_6_63_55309"
39.81201,-120.921339,"3_6_63_64592"
40.103731,-121.083425,"3_6_63_77292"
40.405107,-121.458054,"3_6_63_83144"
39.803868,-121.213027,"3_6_63_92541"
40.10449,-121.267808,"3_6_63_95686"
39.738395,-121.381949,"3_6_7_81517"
39.941426,-121.553104,"3_6_7_92030"
39.532545,-120.268536,"3_6_91_92506"
36.073473,-118.168789,"5_6_107_64596"
36.013092,-118.343066,"5_6_107_99277"
38.081942,-120.114196,"5_6_109_51484"
37.910156,-119.672837,"5_6_109_78971"
38.055671,-119.943771,"5_6_109_94331"
38.259524,-120.145688,"5_6_109_96366"
37.772621,-119.805542,"5_6_109_98431"
